FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
SH001,HG00405,HG00403,HG00404,F,CHS,EAS
SH002,HG00408,HG00406,HG00407,F,CHS,EAS
SH006,HG00420,HG00418,HG00419,M,CHS,EAS
SH007,HG00423,HG00421,HG00422,F,CHS,EAS
SH009,HG00429,HG00427,HG00428,M,CHS,EAS
SH012,HG00438,HG00436,HG00437,F,CHS,EAS
SH014,HG00444,HG00442,HG00443,M,CHS,EAS
SH015,HG00447,HG00445,HG00446,F,CHS,EAS
SH016,HG00450,HG00448,HG00449,F,CHS,EAS
SH017,HG00453,HG00451,HG00452,F,CHS,EAS
SH019,HG00459,HG00457,HG00458,M,CHS,EAS
SH021,HG00465,HG00463,HG00464,M,CHS,EAS
SH024,HG00474,HG00472,HG00473,M,CHS,EAS
SH025,HG00477,HG00475,HG00476,M,CHS,EAS
SH026,HG00480,HG00478,HG00479,M,CHS,EAS
SH028,HG00502,HG00500,HG00501,M,CHS,EAS
SH032,HG00514,HG00512,HG00513,F,CHS,EAS
SH036,HG00526,HG00524,HG00525,M,CHS,EAS
SH038,HG00532,HG00530,HG00531,M,CHS,EAS
SH039,HG00535,HG00533,HG00534,M,CHS,EAS
SH040,HG00538,HG00536,HG00537,M,CHS,EAS
SH042,HG00544,HG00542,HG00543,F,CHS,EAS
PR01,HG00552,HG01075,HG00551,M,PUR,AMR
PR02,HG00555,HG00553,HG00554,F,PUR,AMR
SH045,HG00558,HG00556,HG00557,F,CHS,EAS
SH046,HG00561,HG00559,HG00560,F,CHS,EAS
SH048,HG00567,HG00565,HG00566,M,CHS,EAS
SH052,HG00579,HG00577,HG00578,F,CHS,EAS
SH053,HG00582,HG00580,HG00581,F,CHS,EAS
SH054,HG00585,HG00583,HG00584,F,CHS,EAS
SH056,HG00591,HG00589,HG00590,M,CHS,EAS
SH057,HG00594,HG00592,HG00593,M,CHS,EAS
SH058,HG00597,HG00595,HG00596,F,CHS,EAS
SH062,HG00609,HG00607,HG00608,M,CHS,EAS
SH063,HG00612,HG00610,HG00611,F,CHS,EAS
SH064,HG00615,HG00613,HG00614,F,CHS,EAS
SH066,HG00621,HG00619,HG00620,M,CHS,EAS
SH068,HG00627,HG00625,HG00626,M,CHS,EAS
SH069,HG00630,HG00628,HG00629,M,CHS,EAS
SH071,HG00636,HG00634,HG00635,M,CHS,EAS
PR03,HG00639,HG00637,HG00638,F,PUR,AMR
PR04,HG00642,HG00640,HG00641,M,PUR,AMR
SH072,HG00652,HG00650,HG00651,F,CHS,EAS
SH073,HG00655,HG00653,HG00654,F,CHS,EAS
SH074,HG00658,HG00656,HG00657,M,CHS,EAS
SH076,HG00664,HG00662,HG00663,M,CHS,EAS
SH079,HG00673,HG00671,HG00672,M,CHS,EAS
SH083,HG00685,HG00683,HG00684,M,CHS,EAS
SH085,HG00691,HG00689,HG00690,M,CHS,EAS
SH086,HG00694,HG00692,HG00693,M,CHS,EAS
SH088,HG00700,HG00698,HG00699,F,CHS,EAS
SH089,HG00702,HG00656,HG00657,F,CHS,EAS
SH089,HG00703,HG00701,HG00702,M,CHS,EAS
SH090,HG00706,HG00704,HG00705,M,CHS,EAS
SH091,HG00709,HG00707,HG00708,M,CHS,EAS
PR05,HG00733,HG00731,HG00732,F,PUR,AMR
PR06,HG00735,HG01047,HG00734,F,PUR,AMR
PR07,HG00738,HG00736,HG00737,M,PUR,AMR
PR09,HG00741,HG00739,HG00740,F,PUR,AMR
PR08,HG01050,HG01048,HG01049,F,PUR,AMR
PR11,HG01053,HG01051,HG01052,F,PUR,AMR
PR12,HG01056,HG01054,HG01055,M,PUR,AMR
PR14,HG01062,HG01060,HG01061,F,PUR,AMR
PR16,HG01068,HG01066,HG01067,F,PUR,AMR
PR17,HG01071,HG01069,HG01070,F,PUR,AMR
PR18,HG01074,HG01072,HG01073,M,PUR,AMR
PR21,HG01081,HG01079,HG01080,F,PUR,AMR
PR28,HG01084,HG01082,HG01083,F,PUR,AMR
PR26,HG01087,HG01085,HG01086,F,PUR,AMR
PR29,HG01096,HG01094,HG01095,M,PUR,AMR
PR31,HG01099,HG01097,HG01098,M,PUR,AMR
PR32,HG01100,HG01247,HG01248,F,PUR,AMR
PR19,HG01103,HG01101,HG01102,F,PUR,AMR
PR25,HG01106,HG01104,HG01105,M,PUR,AMR
PR33,HG01109,HG01107,HG01108,M,PUR,AMR
CLM03,HG01114,HG01112,HG01113,F,CLM,AMR
CLM04,HG01126,HG01124,HG01125,M,CLM,AMR
CLM07,HG01135,HG01133,HG01134,M,CLM,AMR
CLM08,HG01138,HG01136,HG01137,M,CLM,AMR
CLM09,HG01141,HG01139,HG01140,F,CLM,AMR
CLM12,HG01150,HG01148,HG01149,F,CLM,AMR
PR39,HG01169,HG01167,HG01168,F,PUR,AMR
PR24,HG01172,HG01170,HG01171,M,PUR,AMR
PR36,HG01175,HG01173,HG01174,F,PUR,AMR
PR42,HG01178,HG01176,HG01177,M,PUR,AMR
PR44,HG01184,HG01182,HG01183,F,PUR,AMR
PR38,HG01189,HG01187,HG01188,M,PUR,AMR
PR40,HG01192,HG01190,HG01191,M,PUR,AMR
PR46,HG01199,HG01197,HG01198,M,PUR,AMR
PR49,HG01206,HG01204,HG01205,M,PUR,AMR
PR22,HG01243,HG01241,HG01242,M,PUR,AMR
PR34,HG01249,HG01110,HG01111,F,PUR,AMR
CLM14,HG01252,HG01250,HG01251,M,CLM,AMR
CLM15,HG01255,HG01253,HG01254,M,CLM,AMR
CLM16,HG01258,HG01256,HG01257,M,CLM,AMR
CLM17,HG01261,HG01259,HG01260,M,CLM,AMR
CLM21,HG01273,HG01271,HG01272,M,CLM,AMR
